curve,time,surv,event
OS,0.6930693069306937,0.997912317327766,0
OS,0.8580858085808583,0.9707724425887263,1
OS,1.0891089108910892,0.9686847599164925,0
OS,1.6831683168316829,0.9373695198329852,1
OS,5.016501650165017,0.9060542797494779,1
OS,5.346534653465348,0.8747390396659707,1
OS,5.907590759075907,0.847599164926931,1
OS,6.732673267326733,0.8434237995824634,0
OS,8.217821782178218,0.8141962421711899,1
OS,9.603960396039605,0.7807933194154487,1
OS,11.617161716171617,0.7473903966597075,1
OS,14.785478547854783,0.7160751565762002,1
OS,16.237623762376238,0.684759916492693,1
OS,16.666666666666668,0.684759916492693,0
OS,18.811881188118814,0.6492693110647181,1
OS,20.627062706270625,0.6137787056367431,1
OS,22.013201320132016,0.6116910229645092,0
OS,23.894389438943893,0.5782881002087681,1
OS,24.224422442244226,0.5762004175365344,0
OS,25.214521452145217,0.5762004175365344,0
OS,25.51155115511551,0.5762004175365344,0
OS,25.51155115511551,0.5762004175365344,0
OS,26.8976897689769,0.5762004175365344,0
OS,27.722772277227726,0.5762004175365344,0
OS,28.21782178217822,0.5260960334029227,1
OS,29.306930693069305,0.5240083507306887,0
OS,29.504950495049506,0.5240083507306887,0
OS,30.59405940594059,0.5240083507306887,0
OS,30.924092409240927,0.44050104384133604,1
OS,31.81518151815181,0.43841336116910223,0
OS,32.40924092409241,0.43841336116910223,0
OS,35.148514851485146,0.43841336116910223,0
OS,37.92079207920792,0.4363256784968683,0
OS,38.778877887788774,0.4363256784968683,0
PFS,0,1,0
PFS,0.03134796238244553,1,0
PFS,0.03134796238244553,0.9979166666666667,0
PFS,0.8777429467084641,0.9708333333333333,1
PFS,1.0971786833855806,0.9375,1
PFS,3.699059561128527,0.9041666666666667,1
PFS,3.793103448275863,0.8729166666666667,1
PFS,5.015673981191225,0.8416666666666667,1
PFS,5.6112852664576804,0.8083333333333333,1
PFS,5.705329153605017,0.775,1
PFS,7.3040752351097185,0.74375,1
PFS,9.623824451410659,0.7104166666666667,1
PFS,10.815047021943574,0.6791666666666667,1
PFS,11.630094043887151,0.6458333333333334,1
PFS,12.821316614420063,0.6145833333333334,1
PFS,12.884012539184951,0.5791666666666666,1
PFS,12.97805642633229,0.5791666666666666,0
PFS,14.796238244514107,0.5479166666666666,1
PFS,20.40752351097179,0.5145833333333333,1
PFS,21.410658307210035,0.5125,0
PFS,21.974921630094045,0.5125,0
PFS,23.66771159874608,0.5104166666666666,0
PFS,23.730407523510973,0.5104166666666666,0
PFS,23.855799373040753,0.5104166666666666,0
PFS,24.32601880877743,0.5104166666666666,0
PFS,26.990595611285265,0.5145833333333333,0
PFS,29.18495297805643,0.5145833333333333,0
PFS,29.49843260188088,0.5145833333333333,0
PFS,30.595611285266457,0.5145833333333333,0
PFS,31.598746081504707,0.5145833333333333,0
PFS,32.38244514106584,0.5145833333333333,0
PFS,34.92163009404389,0.5104166666666666,0
PFS,35.26645768025079,0.2583333333333333,1
PFS,38.808777429467085,0.25625,0
